,T0,T1
140,0.03911094366191012,0.9608890563380899
141,0.057078803351928754,0.9429211966480713
142,0.14458832091114412,0.855411679088856
143,0.7964229638980652,0.20357703610193473
144,0.08583752572704946,0.9141624742729505
145,0.11741398255881853,0.8825860174411815
146,0.016966061661366428,0.9830339383386335
147,0.04552124121674942,0.9544787587832506
148,0.004303614036009007,0.9956963859639909
149,0.21157729982466356,0.7884227001753364
150,0.12088322139875776,0.8791167786012423
151,0.3294043639685985,0.6705956360314014
152,0.04047534072380199,0.959524659276198
153,0.009395100755084951,0.990604899244915
154,0.052020096982596194,0.9479799030174038
155,0.18340595928358108,0.8165940407164188
156,0.01899683903885029,0.9810031609611497
157,0.024869539104573693,0.9751304608954263
158,0.023248730950177723,0.9767512690498223
159,0.18449328186170538,0.8155067181382946
