,T0,T1,T2
354,0.6615358618328631,0.13338229838830098,0.20508183977883593
355,0.9603204183430565,0.0057994909774251,0.03388009067951842
356,0.9418155596081296,0.0073349692657673805,0.05084947112610289
357,0.03126608336443156,0.007484531478931059,0.9612493851566374
358,0.0663406859656372,0.08692858539836419,0.8467307286359986
359,0.37804487295481093,0.009003626607062273,0.6129515004381269
360,0.9739147262219894,0.005985761697223437,0.020099512080787228
361,0.058429761218566155,0.02623408134449497,0.915336157436939
362,0.41686478660210396,0.5187862741126923,0.0643489392852037
363,0.9379970052519974,0.03896191236433581,0.023041082383666797
364,0.02670447092069416,0.048517844292617504,0.9247776847866883
365,0.00773641730095466,0.014055859451593034,0.9782077232474524
366,0.38601240489371696,0.0034013963024064984,0.6105861988038767
367,0.977292210874048,0.016659090809663744,0.006048698316288198
368,0.0077917617996518815,0.049925228590583466,0.9422830096097647
369,0.973236707951353,0.019634325038469375,0.007128967010177554
370,0.47904050872834564,0.07458802937237241,0.4463714618992819
371,0.7499910700470777,0.2413299359792659,0.008678993973656316
372,0.796486418577655,0.08243784918770782,0.1210757322346371
373,0.6763856914587857,0.03538536422350912,0.28822894431770507
374,0.8101754335118047,0.10930166710953866,0.08052289937865668
375,0.8639069662919137,0.003534555819866723,0.13255847788821964
376,0.7923704804514139,0.01382855871098499,0.19380096083760107
377,0.06164220523757983,0.008084088125720883,0.9302737066366994
378,0.6846914379622395,0.049624023071650564,0.2656845389661099
379,0.014990414302628853,0.014586041548349759,0.9704235441490213
380,0.852590401325046,0.01571681605948342,0.13169278261547052
381,0.4149755913081985,0.021559540646633957,0.5634648680451675
382,0.15268652933558527,0.006057254047035995,0.8412562166173787
383,0.783075262194115,0.019236865004260122,0.19768787280162484
384,0.57802888046887,0.026363449635788135,0.39560766989534174
385,0.9686094905731358,0.016800525369472297,0.014589984057391847
386,0.017951820946695903,0.23697129120142074,0.7450768878518834
387,0.06032439728459974,0.0734493072268923,0.8662262954885078
388,0.8906127936606538,0.0925841787945857,0.016803027544760464
389,0.075646341477106,0.0788376450089356,0.8455160135139584
390,0.033954213707791184,0.014267566356847556,0.9517782199353614
391,0.9677890850733891,0.025951435901732867,0.006259479024877978
392,0.06422986560524609,0.029338912444345645,0.9064312219504084
393,0.9142702436448863,0.010902256553526352,0.07482749980158733
394,0.006126355022149289,0.05050368239119729,0.9433699625866535
395,0.5808526342302454,0.03194277558867161,0.38720459018108294
396,0.7701423933901596,0.07983664722716331,0.15002095938267723
397,0.8812683720618353,0.015986195048954117,0.10274543288921051
398,0.7499976809558443,0.015618212053909224,0.2343841069902464
399,0.8774936178053205,0.06828229854033582,0.054224083654343655
400,0.8636399798143011,0.013677961126199206,0.12268205905949968
401,0.6744221992777684,0.31475507084456644,0.010822729877665157
402,0.9866417639950267,0.003536573959897774,0.009821662045075582
403,0.9506040153092242,0.03769472191962451,0.011701262771151242
404,0.04570439034691244,0.004999856829171289,0.9492957528239162
405,0.5541615394887873,0.017544828557668948,0.42829363195354375
406,0.1546132825745571,0.01665135857647309,0.8287353588489699
407,0.007467061961672662,0.010646959286256641,0.9818859787520706
408,0.026749685170893794,0.01170992787080231,0.9615403869583039
409,0.005774630174435519,0.008233794319102141,0.9859915755064623
410,0.9373108913426752,0.007972176461846168,0.054716932195478574
