((49.0, 12.0),41.60240296338852)
((0.0, 30.0),2.5105760608002115)
((10.0, 12.0),38.022294315646974)
((48.0, 8.0),20.005180006027565)
((48.0, 22.0),103.61502654232396)
((26.0, 58.0),9.831300054929848)
((26.0, 36.0),222.61822228806147)
((15.0, 21.0),131.21479485200294)
((25.0, 49.0),96.65135778403663)
((50.0, 33.0),93.90175453151691)
((28.0, 33.0),258.43787865664495)
((26.0, 20.0),200.46112888431236)
((16.0, 33.0),157.5196829834848)
((36.0, 33.0),226.888741909914)
((50.0, 17.0),63.36413178405788)
((9.0, 42.0),56.42249951009937)
((16.0, 5.0),21.50274043700808)
((47.0, 38.0),106.36431193417089)
((38.0, 13.0),117.92919847443682)
((20.0, 34.0),191.53543969210946)
((33.0, 49.0),99.5791517330812)
((18.0, 5.0),30.80641702236786)
((9.0, 16.0),54.032368645310065)
((13.0, 25.0),127.36173046125839)
((46.0, 14.0),77.23864801475081)
((6.0, 30.0),62.48507004317922)
((29.0, 52.0),72.13033444731497)
((42.0, 16.0),119.65674130653599)
((52.0, 11.0),12.30048068953316)
((36.0, 31.0),234.92110958877782)
((40.0, 11.0),90.84875276957928)
((22.0, 21.0),187.0661218248154)
((10.0, 37.0),87.85089134024457)
((32.0, 11.0),116.35251679076791)
((35.0, 41.0),171.03100518794088)
((27.0, 56.0),30.852993493198433)
((40.0, 39.0),158.28140075815466)
((4.0, 41.0),16.956102568646116)
((44.0, 55.0),5.427365333398875)
((14.0, 39.0),114.72679240654972)
((37.0, 38.0),186.10323959158083)
((12.0, 25.0),117.6493999373411)
((49.0, 46.0),44.58031094999132)
((23.0, 50.0),81.5939428495247)
((17.0, 34.0),163.95637264309016)
((41.0, 36.0),168.5792976215268)
((7.0, 47.0),11.381701171656573)
((21.0, 44.0),128.34114639582396)
((43.0, 41.0),122.65613133861007)
((5.0, 15.0),14.629792079517685)
((23.0, 16.0),151.57053392298212)
((18.0, 19.0),144.32359301149572)
((34.0, 51.0),78.11998452201692)
((44.0, 35.0),146.13936087865142)
((22.0, 15.0),138.06149749794048)
((47.0, 50.0),29.89864090145179)
((36.0, 26.0),229.5707676368852)
((29.0, 51.0),82.12483519704939)
((48.0, 53.0),0.21346581852405677)
((54.0, 13.0),8.134501823062621)
((47.0, 44.0),72.78916852446275)
((16.0, 14.0),94.92514304597617)
((22.0, 5.0),45.68895387574482)
((35.0, 31.0),244.4749496980287)
((45.0, 46.0),73.21751723308648)
((12.0, 23.0),112.00599142299114)
((55.0, 33.0),44.58339792451973)
((43.0, 54.0),18.99144267990028)
((33.0, 8.0),85.25913818822079)
((11.0, 47.0),41.718282716246726)
((1.0, 21.0),1.0732284468661035)
((27.0, 34.0),244.95296369812453)
((20.0, 18.0),151.3910898232894)
((42.0, 2.0),1.4137773110377339)
((52.0, 20.0),59.031149768086166)
((53.0, 33.0),64.34521205045425)
((33.0, 26.0),254.1351499195806)
((6.0, 39.0),43.27385150123426)
((15.0, 55.0),3.085290231420963)
((2.0, 27.0),21.720594070677173)
((31.0, 53.0),61.915890802197744)
((55.0, 15.0),10.090197001635453)
((17.0, 53.0),30.27270748617397)
((24.0, 28.0),241.31864299299286)
((51.0, 14.0),38.497086500182185)
((44.0, 43.0),101.72475545276193)
((6.0, 33.0),59.628759881860205)
((24.0, 38.0),195.15024047724137)
((56.0, 19.0),18.184612191973137)
((53.0, 35.0),60.32694526521201)
((45.0, 33.0),142.7888904861047)
((50.0, 12.0),34.06476555293679)
((15.0, 38.0),128.46750985044994)
((33.0, 42.0),168.1533575255944)
((42.0, 29.0),177.36781624910563)
